Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-07 08:00:00-05:00,738.0,739.0,738.0,738.75,119,0,0
2022-12-07 08:05:00-05:00,738.75,739.75,738.75,739.0,113,0,0
2022-12-07 08:10:00-05:00,739.0,739.25,738.5,738.5,64,0,0
2022-12-07 08:15:00-05:00,738.5,739.75,738.5,738.75,180,0,0
2022-12-07 08:20:00-05:00,738.5,738.5,737.75,738.0,138,0,0
2022-12-07 08:25:00-05:00,738.0,738.5,738.0,738.25,72,0,0
2022-12-07 08:30:00-05:00,738.25,739.25,737.75,738.75,149,0,0
2022-12-07 08:35:00-05:00,739.0,739.0,738.0,738.0,64,0,0
2022-12-07 08:40:00-05:00,738.25,738.5,737.25,737.75,68,0,0
2022-12-07 09:30:00-05:00,737.75,746.25,737.25,745.5,4086,0,0
2022-12-07 09:35:00-05:00,745.75,748.0,743.25,747.25,2076,0,0
2022-12-07 09:40:00-05:00,747.0,750.5,746.5,749.25,2515,0,0
2022-12-07 09:45:00-05:00,749.0,749.25,745.0,745.5,2079,0,0
2022-12-07 09:50:00-05:00,745.25,747.5,744.75,745.0,779,0,0
2022-12-07 09:55:00-05:00,745.0,748.5,744.5,747.75,1138,0,0
2022-12-07 10:00:00-05:00,747.75,748.25,747.0,747.5,551,0,0
2022-12-07 10:05:00-05:00,747.25,750.0,747.0,749.25,803,0,0
2022-12-07 10:10:00-05:00,749.5,750.0,748.25,749.5,1141,0,0
2022-12-07 10:15:00-05:00,749.5,750.0,748.5,749.25,884,0,0
2022-12-07 10:20:00-05:00,749.25,752.5,748.5,752.5,1014,0,0
2022-12-07 10:25:00-05:00,752.5,756.25,751.25,755.0,2084,0,0
2022-12-07 10:30:00-05:00,754.75,756.0,751.5,752.0,1449,0,0
2022-12-07 10:35:00-05:00,752.25,753.25,751.5,751.75,649,0,0
2022-12-07 10:40:00-05:00,751.5,752.5,750.0,750.25,831,0,0
2022-12-07 10:45:00-05:00,750.25,752.5,750.25,751.25,638,0,0
2022-12-07 10:50:00-05:00,751.0,751.25,748.0,748.25,895,0,0
2022-12-07 10:55:00-05:00,748.25,749.25,747.0,747.75,589,0,0
2022-12-07 11:00:00-05:00,747.75,747.75,746.25,747.0,317,0,0
2022-12-07 11:05:00-05:00,747.75,749.25,747.0,747.5,632,0,0
2022-12-07 11:10:00-05:00,747.25,747.5,745.75,746.0,342,0,0
2022-12-07 11:15:00-05:00,746.25,747.5,746.0,746.5,452,0,0
2022-12-07 11:20:00-05:00,746.5,748.75,746.0,748.5,397,0,0
2022-12-07 11:25:00-05:00,748.25,749.0,747.0,747.75,301,0,0
2022-12-07 11:30:00-05:00,748.25,748.5,746.75,747.5,345,0,0
2022-12-07 11:35:00-05:00,747.5,747.75,746.0,747.75,297,0,0
2022-12-07 11:40:00-05:00,747.75,749.25,747.5,749.25,352,0,0
2022-12-07 11:45:00-05:00,749.25,750.5,748.0,748.25,212,0,0
2022-12-07 11:50:00-05:00,748.0,748.5,746.25,746.5,443,0,0
2022-12-07 11:55:00-05:00,746.5,749.0,746.25,748.75,313,0,0
2022-12-07 12:00:00-05:00,749.0,751.75,748.75,751.5,533,0,0
2022-12-07 12:05:00-05:00,751.5,753.0,751.0,752.75,436,0,0
2022-12-07 12:10:00-05:00,752.5,754.0,752.25,752.75,271,0,0
2022-12-07 12:15:00-05:00,752.75,754.5,752.5,754.25,505,0,0
2022-12-07 12:20:00-05:00,754.25,754.25,752.75,753.75,184,0,0
2022-12-07 12:25:00-05:00,753.75,754.5,753.0,753.0,378,0,0
2022-12-07 12:30:00-05:00,753.25,754.0,752.5,753.0,714,0,0
2022-12-07 12:35:00-05:00,753.25,754.25,753.25,753.5,263,0,0
2022-12-07 12:40:00-05:00,753.5,754.0,753.25,753.25,112,0,0
2022-12-07 12:45:00-05:00,753.25,753.5,752.25,752.5,180,0,0
2022-12-07 12:50:00-05:00,752.75,753.0,752.0,752.75,337,0,0
2022-12-07 12:55:00-05:00,752.75,753.0,752.0,752.25,231,0,0
2022-12-07 13:00:00-05:00,752.0,752.5,752.0,752.0,107,0,0
2022-12-07 13:05:00-05:00,752.0,754.0,752.0,753.5,272,0,0
2022-12-07 13:10:00-05:00,753.5,753.75,752.75,753.0,145,0,0
2022-12-07 13:15:00-05:00,752.75,753.25,752.5,753.0,123,0,0
2022-12-07 13:20:00-05:00,753.0,754.25,753.0,754.0,388,0,0
2022-12-07 13:25:00-05:00,753.75,753.75,752.25,752.25,274,0,0
2022-12-07 13:30:00-05:00,752.25,753.75,752.0,753.75,325,0,0
2022-12-07 13:35:00-05:00,753.75,753.75,752.5,753.25,176,0,0
2022-12-07 13:40:00-05:00,753.25,753.25,751.5,752.0,381,0,0
2022-12-07 13:45:00-05:00,752.0,752.25,751.25,751.5,194,0,0
2022-12-07 13:50:00-05:00,751.75,751.75,751.25,751.25,111,0,0
2022-12-07 13:55:00-05:00,751.25,752.0,750.0,750.5,486,0,0
2022-12-07 14:00:00-05:00,750.5,751.5,750.0,750.75,441,0,0
2022-12-07 14:05:00-05:00,750.5,751.0,750.0,750.75,588,0,0
2022-12-07 14:10:00-05:00,750.75,750.75,748.75,749.25,2206,0,0
2022-12-07 14:15:00-05:00,749.25,750.0,748.25,749.5,994,0,0
